Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,Pro,32,exp,3,3,same,1400,650,400,R,R,TRUE,365.876999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,33,exp,2,2,same,1000,650,400,P,P,TRUE,253.670999999973,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,34,exp,3,3,same,200,300,50,P,P,TRUE,326.081000000006,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,35,exp,4,4,same,600,300,50,B,B,TRUE,338.842999999993,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,36,exp,4,4,same,1800,650,400,P,P,TRUE,447.001000000047,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,37,exp,4,4,same,200,300,50,P,P,TRUE,296.418999999994,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,38,exp,4,4,same,1400,300,50,P,P,TRUE,284.878999999957,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,39,exp,1,1,same,1400,650,400,R,R,TRUE,477.018999999971,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,40,exp,3,3,same,200,650,400,R,R,TRUE,469.785000000033,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,41,exp,2,2,same,200,650,400,R,R,TRUE,502.550999999978,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,42,exp,4,4,same,1400,650,400,P,P,TRUE,194.033000000054,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,43,exp,1,1,same,200,300,50,R,P,FALSE,272.10699999996,5fb079128b511d47995da086,1920,1080,1
